original,replacement,weight
w,f,0.0075528700906344415
w,k,0.0037764350453172208
f,x,0.0012453300124533001
o,v,0.003461405330564209
f,v,0.0012453300124533001
o,x,0.0006922810661128419
2,ē,0.00014518002322880372
8,ē,0.0005098139179199592
o,",",0.003461405330564209
g,",",0.007261410788381743
p,b,0.00390625
l,_,0.0007168458781362007
o,G,0.00034614053305642093
7,"
",0.0009927200529450694
2,"
",0.0005807200929152149
a,=,0.001696147322510298
e,j,0.004620123203285421
e,f,0.00513347022587269
w,j,0.0007552870090634441
d,f,0.001968503937007874
d,b,0.003937007874015748
d,k,0.003937007874015748
i,"
",0.0015082956259426848
7,_,0.0013236267372600927
s,,0.0006285355122564425
h,,0.0008620689655172414
i,y,0.004022121669180492
t,f,0.0033003300330033004
w,c,0.0007552870090634441
8,…,0.0002549069589599796
2,…,0.00014518002322880372
d,p,0.001968503937007874
u,;,0.0009871668311944718
d,;,0.000984251968503937
c,,0.0004697040864255519
y,,0.0037593984962406013
m,",",0.0023952095808383233
f,u,0.0024906600249066002
t,v,0.007425742574257425
z,6,0.06976744186046512
z,7,0.023255813953488372
7,z,0.001985440105890139
z,1,0.023255813953488372
b,.,0.0015515903801396431
b,",",0.0007757951900698216
j,,0.0024067388688327317
a,,0.000726920281075842
i,…,0.0005027652086475615
i,G,0.0005027652086475615
b,G,0.0015515903801396431
i,R,0.0005027652086475615
b,R,0.0007757951900698216
i,Q,0.0005027652086475615
b,Q,0.0007757951900698216
b,…,0.0007757951900698216
j,v,0.006016847172081829
i,u,0.001005530417295123
o,0,0.00034614053305642093
r,0,0.0011231748408835642
o,.,0.0010384215991692627
o,2,0.00034614053305642093
e,,0.002053388090349076
b,j,0.0015515903801396431
b,,0.0007757951900698216
u,f,0.003948667324777887
f,w,0.0012453300124533001
s,w,0.0018856065367693275
h,.,0.0017241379310344827
s,.,0.0006285355122564425
j,p,0.0048134777376654635
o,,0.0010384215991692627
e,"
",0.002053388090349076
m,"
",0.0011976047904191617
j,d,0.006016847172081829
u,j,0.004935834155972359
j,u,0.0036101083032490976
u,=,0.0009871668311944718
j,”,0.0012033694344163659
j,=,0.0012033694344163659
u,”,0.0009871668311944718
p,y,0.00390625
t,c,0.0024752475247524753
w,"
",0.0007552870090634441
a,;,0.000484613520717228
r,;,0.0007487832272557095
y,e,0.08646616541353383
y,:,0.02631578947368421
y,o,0.0037593984962406013
y,l,0.03007518796992481
y,u,0.0037593984962406013
w,b,0.0030211480362537764
8,o,0.0025490695895997962
i,z,0.0030165912518853697
h,z,0.001293103448275862
i,,0.001005530417295123
u,y,0.004935834155972359
h,"
",0.0004310344827586207
s,"
",0.0006285355122564425
b,|,0.0007757951900698216
o,|,0.00034614053305642093
t,p,0.0016501650165016502
s,j,0.0006285355122564425
t,j,0.0016501650165016502
c,b,0.0018788163457022077
r,',0.0007487832272557095
b,',0.0007757951900698216
f,z,0.0024906600249066002
f,d,0.0062266500622665
8,y,0.0002549069589599796
2,y,0.00014518002322880372
c,u,0.0023485204321277596
t,,0.0016501650165016502
c,;,0.0004697040864255519
h,;,0.0004310344827586207
8,f,0.0007647208768799389
2,f,0.00043554006968641115
w,y,0.0022658610271903325
e,u,0.001540041067761807
p,x,0.0013020833333333333
g,j,0.001037344398340249
g,z,0.005186721991701245
r,j,0.0007487832272557095
m,,0.0005988023952095808
d,.,0.002952755905511811
d,y,0.006889763779527559
j,b,0.007220216606498195
k,j,0.006607929515418502
a,|,0.001453840562151684
w,|,0.0015105740181268882
y,d,0.015037593984962405
y,v,0.0037593984962406013
s,f,0.00251414204902577
8,U,0.0002549069589599796
m,f,0.0011976047904191617
t,G,0.0008250825082508251
s,G,0.0006285355122564425
y,',0.007518796992481203
8,"
",0.0002549069589599796
h,|,0.0004310344827586207
e,',0.000513347022587269
y,k,0.0037593984962406013
e,1,0.001026694045174538
s,1,0.001257071024512885
y,.,0.007518796992481203
m,',0.0005988023952095808
b,5,0.0015515903801396431
r,5,0.00037439161362785476
n,w,0.003875968992248062
n,",",0.003875968992248062
g,f,0.001037344398340249
r,G,0.00037439161362785476
j,.,0.0024067388688327317
j,2,0.0036101083032490976
a,2,0.000484613520717228
h,_,0.0004310344827586207
h,f,0.001293103448275862
u,5,0.0009871668311944718
h,5,0.0004310344827586207
h,0,0.0008620689655172414
c,0,0.0004697040864255519
g,p,0.001037344398340249
